frame_tooltip,,,x_tooltip,y_tooltip,
728.0,Vitrector_tooltip,0,1047,482,0.9436291
730.0,Vitrector_tooltip,0,1027,472,0.6566968
730.0,Vitrector_tooltip,0,1041,475,0.79829466
732.0,Vitrector_tooltip,0,1028,469,0.7081587
734.0,Vitrector_tooltip,0,1027,467,0.69345486
738.0,Vitrector_tooltip,0,1016,465,0.45017204
740.0,Vitrector_tooltip,0,1013,458,0.70704854
740.0,Vitrector_tooltip,0,954,455,0.12999487
740.0,Vitrector_tooltip,0,993,457,0.27363437
740.0,Vitrector_tooltip,0,1008,457,0.43722576
744.0,Vitrector_tooltip,0,1004,456,0.5488888
744.0,Vitrector_tooltip,0,960,456,0.13192397
744.0,Vitrector_tooltip,0,992,455,0.82605803
746.0,Vitrector_tooltip,0,992,454,0.9409442
748.0,Vitrector_tooltip,0,989,453,0.9577369
752.0,Vitrector_tooltip,0,985,453,0.9709688
754.0,Vitrector_tooltip,0,985,452,0.97159404
754.0,Vitrector_tooltip,0,984,452,0.96548223
756.0,Vitrector_tooltip,0,983,451,0.9584309
758.0,Vitrector_tooltip,0,977,451,0.85958314
762.0,Vitrector_tooltip,0,965,452,0.8748304
762.0,Vitrector_tooltip,0,960,453,0.9559454
764.0,Vitrector_tooltip,0,956,454,0.9837413
768.0,Vitrector_tooltip,0,949,454,0.9724435
770.0,Vitrector_tooltip,0,946,454,0.9016183
772.0,Vitrector_tooltip,0,944,455,0.77788156
772.0,Vitrector_tooltip,0,942,451,0.6611494
774.0,Vitrector_tooltip,0,939,448,0.6192552
776.0,Vitrector_tooltip,0,936,443,0.70947534
778.0,Vitrector_tooltip,0,933,441,0.9254153
782.0,Vitrector_tooltip,0,926,434,0.92863303
784.0,Vitrector_tooltip,0,919,431,0.637436
784.0,Vitrector_tooltip,0,919,426,0.68084025
786.0,Vitrector_tooltip,0,918,426,0.6732207
788.0,Vitrector_tooltip,0,921,425,0.85839653
792.0,Vitrector_tooltip,0,921,421,0.78033006
794.0,Vitrector_tooltip,0,924,417,0.10495261
796.0,Vitrector_tooltip,0,918,410,0.13509026
796.0,Vitrector_tooltip,0,923,388,0.53404933
798.0,Vitrector_tooltip,0,924,387,0.8961832
800.0,Vitrector_tooltip,0,925,385,0.9654886
802.0,Vitrector_tooltip,0,926,385,0.9535357
806.0,Vitrector_tooltip,0,925,385,0.95130676
808.0,Vitrector_tooltip,0,925,384,0.9212776
808.0,Vitrector_tooltip,0,924,384,0.93297815
810.0,Vitrector_tooltip,0,923,385,0.92120695
812.0,Vitrector_tooltip,0,924,384,0.932054
816.0,Vitrector_tooltip,0,925,382,0.89795756
818.0,Vitrector_tooltip,0,926,379,0.7526435
820.0,Vitrector_tooltip,0,926,378,0.5955601
820.0,Vitrector_tooltip,0,929,367,0.8321478
822.0,Vitrector_tooltip,0,930,367,0.9010628
826.0,Vitrector_tooltip,0,929,367,0.92713326
828.0,Vitrector_tooltip,0,929,367,0.93423456
830.0,Vitrector_tooltip,0,928,369,0.9404271
830.0,Vitrector_tooltip,0,928,370,0.9127811
832.0,Vitrector_tooltip,0,928,370,0.86841637
834.0,Vitrector_tooltip,0,927,371,0.81107247
838.0,Vitrector_tooltip,0,927,372,0.7642362
840.0,Vitrector_tooltip,0,928,374,0.5875413
840.0,Vitrector_tooltip,0,930,379,0.6834988
842.0,Vitrector_tooltip,0,940,385,0.5937388
844.0,Vitrector_tooltip,0,948,385,0.44461992
846.0,Vitrector_tooltip,0,961,390,0.7781671
850.0,Vitrector_tooltip,0,964,391,0.34736338
852.0,Vitrector_tooltip,0,897,486,0.11130795
852.0,Vitrector_tooltip,0,981,400,0.6928445
852.0,Vitrector_tooltip,0,973,399,0.15980874
852.0,Vitrector_tooltip,0,984,402,0.71787345
854.0,Vitrector_tooltip,0,1011,410,0.11603929
860.0,Vitrector_tooltip,0,1027,419,0.44330338
862.0,Vitrector_tooltip,0,1039,420,0.25199497
862.0,Vitrector_tooltip,0,1072,435,0.25357196
866.0,Vitrector_tooltip,0,1072,438,0.30836663
866.0,Vitrector_tooltip,0,1089,448,0.2070911
868.0,Vitrector_tooltip,0,1103,456,0.6541239
872.0,Vitrector_tooltip,0,1107,458,0.26492405
874.0,Vitrector_tooltip,0,1113,467,0.17942525
876.0,Vitrector_tooltip,0,1114,468,0.31385565
880.0,Vitrector_tooltip,0,1116,470,0.2247441
880.0,Vitrector_tooltip,0,1112,470,0.39657003
882.0,Vitrector_tooltip,0,1111,472,0.33141002
884.0,Vitrector_tooltip,0,1105,471,0.37712562
888.0,Vitrector_tooltip,0,1102,472,0.37766087
890.0,Vitrector_tooltip,0,1100,471,0.39230812
890.0,Vitrector_tooltip,0,1092,474,0.38411292
